stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,profit_without_cost,profit_tax1,profit_tax2,open number,return,std1,skew1,timetrend,pos,int_w1,int_w2,done,StrategyOpenTime,StrategyCloseTime
1303,2881,model3,-0.7688573331739786,0.23114266682602136,0.022752037033853,0.16269378076783197,0.042959999999999915,-2.3150130583270134,0.0013077591125789084,-0.4895550442407105,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1303,2884,model3,-0.429615143506812,0.5703848564931879,0.032906398064853314,0.40074433362791695,0.10649333333333334,-0.14093041857413172,0.0011269160316725007,-0.4939727062969588,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1303,2891,model3,-0.571547723806744,0.4284522761932559,0.12008759500196159,0.36041045560341434,0.14593333333333336,-1.1425720262673889,0.0010358599420739764,-0.481834512402592,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1303,2618,model3,-0.6967193815767312,0.3032806184232687,0.11209092422573905,0.2872179734463865,0.13262666666666667,-2.0436907395589254,0.0014405621414932263,-1.003160471230118,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1303,2809,model3,0.6116592244100616,0.38834077558993846,0.11821989280251716,0.9902016106325916,0.14609333333333327,3.671721549957321,0.001297540656420297,0.8406067330161345,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1303,2834,model3,-0.4793496607232596,0.5206503392767405,0.020614637858337892,0.36962760505088127,0.06342666666666673,-0.8840991209207717,0.0008011050797921383,0.08914365974817247,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1303,3702,model3,-0.4494061188689925,0.5505938811310076,0.1276451182094184,0.6772884998061169,0.13798666666666679,0.09557802707629386,0.0006822853600323413,-0.6391215316840875,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
2105,2308,model3,-0.35654886510293404,0.643451134897066,0.18102612769710327,0.7090683208574987,0.17050666666666675,1.688206504700186,0.0011248571283898412,0.5873465501471402,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
2105,2324,model1,0.4058351092070907,-0.5941648907929092,0.9211904381694822,0.08830062776864141,0.1516000000000006,0.0006252101755003414,0.0020542073863650716,-0.08064096138860022,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
2105,2891,model1,0.39974803200956527,-0.6002519679904347,0.8326026979787521,0.45922952435578085,0.14117333333333335,0.00010419174643482077,0.0011407887957558527,-0.1662062418887479,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
